final_species_name,Cro,A,SpC,InC,InB,SpF,DCS,PVS,DS,LS,VnS,NPRC,SbO,GF,EGFS,DHS,M,TL4,FL4,DC,nPVS,nMS,nVrS,nVnS,nInL,nPM,ncPM,nGS,nCRo,nbNSpL,nLS,ncIp,nbCoA,nSpL,nPR,nSbO,nSpC,nbSbOSpL,TL,SVL,sex,n4TL,n4FL,nS4FL,nDlT,nArT,nAlT
E_boulengeri,1,1,1,1,1,1,0,3,1,0,1,0,1,0,NA,1,1,1,1,1,108,71,66,49,9,2,8,50,4,2,8,10,3,11,7,17,11,2,204,87,NA,30,23,0,12,51,NA
E_brasiliensis,1,1,1,1,1,1,1,4,1,1,1,0,1,1,1,NA,1,0,0,1,85,43,52,42,11,4,10,49,5,2,6,NA,NA,11,7,NA,NA,1,160,100,NA,30,23,0,15,35,NA
E_brasiliensis,1,1,1,1,1,1,1,3,1,1,1,0,1,1,1,0,1,0,0,1,93,63,57,43,10,3,7,51,6,1,7,10,3,11,6,20,11,1,152,92,NA,34,22,0,13,37,120
E_brasiliensis,0,1,1,1,1,1,1,3,1,1,1,0,1,1,1,1,1,0,0,1,93,65,57,46,9,3,8,51,5,1,7,9,3,10,7,18,10,1,128,75,NA,33,21,0,12,35,131
E_brasiliensis,1,1,1,1,1,1,1,2,1,1,1,0,1,1,0,0,1,1,0,1,93,59,55,45,11,4,10,47,5,2,7,10,4,11,7,19,10,1,136,58,NA,30,24,0,13,33,NA
E_brasiliensis,1,1,1,1,1,1,1,2,1,1,1,0,1,1,1,1,1,0,0,1,88,61,51,38,9,5,11,46,6,2,8,12,4,10,7,19,10,1,162,99,NA,30,22,0,13,34,117
E_brasiliensis,0,1,1,1,1,1,1,2,1,1,1,0,1,1,1,0,1,1,0,1,97,58,54,42,12,4,10,50,5,2,7,10,4,10,7,22,11,1,154,103,NA,32,23,0,13,32,121
E_brasiliensis,1,1,1,1,1,1,0,3,1,1,1,0,1,1,0,1,1,0,0,1,96,73,67,53,9,2,12,53,4,1,7,11,2,9,7,23,11,2,NA,84,M,30,21,0,14,47,NA
E_brasiliensis,1,1,1,1,1,1,0,3,1,1,1,0,1,1,0,0,1,0,0,1,79,70,60,47,9,2,9,46,4,2,6,10,3,10,6,20,9,2,NA,92,NA,32,23,0,12,35,NA
E_brasiliensis,1,1,1,0,1,1,0,3,1,1,1,0,1,NA,NA,0,1,0,0,1,95,76,56,51,10,2,8,56,NA,NA,7,9,3,9,7,21,11,2,113,53,NA,32,22,3,16,43,NA
E_brasiliensis,1,1,1,0,1,1,0,3,1,1,1,0,1,NA,NA,1,1,0,0,1,75,74,59,NA,8,2,11,55,5,2,7,9,3,10,6,18,11,1,NA,86,F,30,21,1,15,44,NA
E_brasiliensis,1,1,1,1,1,1,0,3,1,1,1,0,1,1,1,0,1,0,0,1,98,77,61,44,10,3,9,48,4,1,8,10,2,10,7,18,12,2,147,65,NA,29,22,2,14,35,NA
